4 heuristics, new coefficients from the paper, fitness = rowsCleared - avgNumHoles - avgHeight
2018-04-13 3:17:14,2018-04-13 3:17:14,25
2018-04-13 3:17:14,2018-04-13 3:17:14,29
2018-04-13 3:17:14,2018-04-13 3:17:14,0
2018-04-13 3:17:14,2018-04-13 3:17:14,42
2018-04-13 3:17:14,2018-04-13 3:17:14,26
2018-04-13 3:17:14,2018-04-13 3:17:14,45
2018-04-13 3:17:14,2018-04-13 3:17:14,195
2018-04-13 3:17:14,2018-04-13 3:17:15,28
2018-04-13 3:17:15,2018-04-13 3:17:15,36
2018-04-13 3:17:15,2018-04-13 3:17:15,0
2018-04-13 3:17:15,2018-04-13 3:17:15,30
2018-04-13 3:17:15,2018-04-13 3:17:15,19
2018-04-13 3:17:15,2018-04-13 3:17:15,72
2018-04-13 3:17:15,2018-04-13 3:17:15,42
2018-04-13 3:17:14,2018-04-13 3:17:15,962
2018-04-13 3:17:15,2018-04-13 3:17:16,504
2018-04-13 3:17:16,2018-04-13 3:17:16,0
2018-04-13 3:17:16,2018-04-13 3:17:16,109
2018-04-13 3:17:15,2018-04-13 3:17:16,674
2018-04-13 3:17:16,2018-04-13 3:17:16,222
2018-04-13 3:17:16,2018-04-13 3:17:16,215
2018-04-13 3:17:16,2018-04-13 3:17:17,217
2018-04-13 3:17:17,2018-04-13 3:17:17,96
2018-04-13 3:17:17,2018-04-13 3:17:17,168
2018-04-13 3:17:17,2018-04-13 3:17:17,0
2018-04-13 3:17:17,2018-04-13 3:17:17,0
2018-04-13 3:17:17,2018-04-13 3:17:18,487
2018-04-13 3:17:18,2018-04-13 3:17:18,0
2018-04-13 3:17:18,2018-04-13 3:17:18,106
2018-04-13 3:17:18,2018-04-13 3:17:18,288
2018-04-13 3:17:18,2018-04-13 3:17:20,1098
2018-04-13 3:17:20,2018-04-13 3:17:20,98
2018-04-13 3:17:20,2018-04-13 3:17:20,354
2018-04-13 3:17:16,2018-04-13 3:17:21,3377
2018-04-13 3:17:20,2018-04-13 3:17:22,869
2018-04-13 3:17:22,2018-04-13 3:17:22,0
2018-04-13 3:17:22,2018-04-13 3:17:22,224
2018-04-13 3:17:22,2018-04-13 3:17:22,167
2018-04-13 3:17:22,2018-04-13 3:17:23,371
2018-04-13 3:17:23,2018-04-13 3:17:23,89
2018-04-13 3:17:23,2018-04-13 3:17:24,456
2018-04-13 3:17:24,2018-04-13 3:17:24,573
2018-04-13 3:17:24,2018-04-13 3:17:24,0
2018-04-13 3:17:24,2018-04-13 3:17:24,66
2018-04-13 3:17:24,2018-04-13 3:17:25,89
2018-04-13 3:17:25,2018-04-13 3:17:25,126
2018-04-13 3:17:25,2018-04-13 3:17:25,175
2018-04-13 3:17:25,2018-04-13 3:17:26,404
2018-04-13 3:17:26,2018-04-13 3:17:26,103
2018-04-13 3:17:26,2018-04-13 3:17:26,135
2018-04-13 3:17:26,2018-04-13 3:17:26,81
2018-04-13 3:17:26,2018-04-13 3:17:26,143
2018-04-13 3:17:26,2018-04-13 3:17:27,388
2018-04-13 3:17:27,2018-04-13 3:17:28,602
2018-04-13 3:17:28,2018-04-13 3:17:28,210
2018-04-13 3:17:28,2018-04-13 3:17:28,180
2018-04-13 3:17:28,2018-04-13 3:17:29,185
2018-04-13 3:17:29,2018-04-13 3:17:29,2
2018-04-13 3:17:29,2018-04-13 3:17:30,814
2018-04-13 3:17:30,2018-04-13 3:17:30,48
2018-04-13 3:17:30,2018-04-13 3:17:30,0
2018-04-13 3:17:30,2018-04-13 3:17:31,452
2018-04-13 3:17:31,2018-04-13 3:17:32,949
2018-04-13 3:17:32,2018-04-13 3:17:32,238
2018-04-13 3:17:32,2018-04-13 3:17:32,53
2018-04-13 3:17:32,2018-04-13 3:17:33,421
2018-04-13 3:17:33,2018-04-13 3:17:33,82
2018-04-13 3:17:33,2018-04-13 3:17:34,367
2018-04-13 3:17:34,2018-04-13 3:17:34,0
2018-04-13 3:17:34,2018-04-13 3:17:34,248
2018-04-13 3:17:34,2018-04-13 3:17:34,260
2018-04-13 3:17:34,2018-04-13 3:17:34,5
2018-04-13 3:17:34,2018-04-13 3:17:34,79
2018-04-13 3:17:21,2018-04-13 3:17:35,9898
2018-04-13 3:17:34,2018-04-13 3:17:35,41
2018-04-13 3:17:35,2018-04-13 3:17:35,399
2018-04-13 3:17:35,2018-04-13 3:17:36,363
2018-04-13 3:17:36,2018-04-13 3:17:36,535
2018-04-13 3:17:35,2018-04-13 3:17:36,1435
2018-04-13 3:17:36,2018-04-13 3:17:38,1406
2018-04-13 3:17:38,2018-04-13 3:17:39,246
2018-04-13 3:17:39,2018-04-13 3:17:39,11
2018-04-13 3:17:36,2018-04-13 3:17:39,1553
2018-04-13 3:17:39,2018-04-13 3:17:39,215
2018-04-13 3:17:39,2018-04-13 3:17:39,124
2018-04-13 3:17:39,2018-04-13 3:17:40,270
2018-04-13 3:17:40,2018-04-13 3:17:40,24
2018-04-13 3:17:39,2018-04-13 3:17:40,676
2018-04-13 3:17:40,2018-04-13 3:17:40,551
2018-04-13 3:17:40,2018-04-13 3:17:41,225
2018-04-13 3:17:41,2018-04-13 3:17:41,100
2018-04-13 3:17:40,2018-04-13 3:17:41,976
2018-04-13 3:17:41,2018-04-13 3:17:41,453
2018-04-13 3:17:41,2018-04-13 3:17:42,183
2018-04-13 3:17:42,2018-04-13 3:17:42,113
2018-04-13 3:17:41,2018-04-13 3:17:42,670
2018-04-13 3:17:42,2018-04-13 3:17:42,296
2018-04-13 3:17:42,2018-04-13 3:17:43,127
2018-04-13 3:17:42,2018-04-13 3:17:43,376
2018-04-13 3:17:43,2018-04-13 3:17:43,0
2018-04-13 3:17:43,2018-04-13 3:17:43,41
2018-04-13 3:17:43,2018-04-13 3:17:43,198
2018-04-13 3:17:43,2018-04-13 3:17:43,147
2018-04-13 3:17:43,2018-04-13 3:17:44,646
2018-04-13 3:17:44,2018-04-13 3:17:44,186
2018-04-13 3:17:44,2018-04-13 3:17:44,21
2018-04-13 3:17:44,2018-04-13 3:17:45,120
2018-04-13 3:17:45,2018-04-13 3:17:45,67
2018-04-13 3:17:45,2018-04-13 3:17:45,13
2018-04-13 3:17:45,2018-04-13 3:17:45,74
2018-04-13 3:17:45,2018-04-13 3:17:45,0
2018-04-13 3:17:45,2018-04-13 3:17:45,0
2018-04-13 3:17:45,2018-04-13 3:17:45,26
2018-04-13 3:17:45,2018-04-13 3:17:45,141
2018-04-13 3:17:45,2018-04-13 3:17:46,266
2018-04-13 3:17:46,2018-04-13 3:17:46,77
2018-04-13 3:17:46,2018-04-13 3:17:46,0
2018-04-13 3:17:43,2018-04-13 3:17:46,2457
2018-04-13 3:17:46,2018-04-13 3:17:46,202
2018-04-13 3:17:46,2018-04-13 3:17:46,56
2018-04-13 3:17:46,2018-04-13 3:17:47,498
2018-04-13 3:17:47,2018-04-13 3:17:47,299
2018-04-13 3:17:47,2018-04-13 3:17:49,968
2018-04-13 3:17:49,2018-04-13 3:17:49,85
2018-04-13 3:17:49,2018-04-13 3:17:49,337
2018-04-13 3:17:46,2018-04-13 3:17:49,2413
2018-04-13 3:17:49,2018-04-13 3:17:50,241
2018-04-13 3:17:49,2018-04-13 3:17:50,117
2018-04-13 3:17:50,2018-04-13 3:17:50,123
2018-04-13 3:17:50,2018-04-13 3:17:50,104
2018-04-13 3:17:50,2018-04-13 3:17:50,335
2018-04-13 3:17:50,2018-04-13 3:17:52,1362
2018-04-13 3:17:52,2018-04-13 3:17:52,7
2018-04-13 3:17:50,2018-04-13 3:17:53,2187
2018-04-13 3:17:52,2018-04-13 3:17:53,515
2018-04-13 3:17:53,2018-04-13 3:17:55,1828
2018-04-13 3:17:56,2018-04-13 3:17:56,30
2018-04-13 3:17:56,2018-04-13 3:17:57,798
2018-04-13 3:17:57,2018-04-13 3:17:57,0
2018-04-13 3:17:57,2018-04-13 3:17:57,237
2018-04-13 3:17:57,2018-04-13 3:17:57,101
2018-04-13 3:17:53,2018-04-13 3:17:59,4520
2018-04-13 3:17:57,2018-04-13 3:17:59,1456
2018-04-13 3:17:59,2018-04-13 3:18:01,1419
2018-04-13 3:18:01,2018-04-13 3:18:02,219
2018-04-13 3:18:02,2018-04-13 3:18:02,0
2018-04-13 3:18:02,2018-04-13 3:18:03,306
2018-04-13 3:18:03,2018-04-13 3:18:03,519
2018-04-13 3:17:59,2018-04-13 3:18:04,3327
2018-04-13 3:18:03,2018-04-13 3:18:04,868
2018-04-13 3:18:04,2018-04-13 3:18:06,1338
2018-04-13 3:18:06,2018-04-13 3:18:06,133
2018-04-13 3:18:06,2018-04-13 3:18:07,280
2018-04-13 3:18:04,2018-04-13 3:18:07,1912
2018-04-13 3:18:07,2018-04-13 3:18:07,435
2018-04-13 3:18:07,2018-04-13 3:18:08,346
2018-04-13 3:18:07,2018-04-13 3:18:08,389
2018-04-13 3:18:08,2018-04-13 3:18:09,505
2018-04-13 3:18:09,2018-04-13 3:18:09,92
2018-04-13 3:18:09,2018-04-13 3:18:09,122
2018-04-13 3:18:09,2018-04-13 3:18:09,271
2018-04-13 3:18:09,2018-04-13 3:18:10,169
2018-04-13 3:18:10,2018-04-13 3:18:11,715
2018-04-13 3:18:11,2018-04-13 3:18:11,126
2018-04-13 3:18:08,2018-04-13 3:18:11,2512
2018-04-13 3:18:11,2018-04-13 3:18:12,777
2018-04-13 3:18:11,2018-04-13 3:18:12,457
2018-04-13 3:18:12,2018-04-13 3:18:12,86
2018-04-13 3:18:12,2018-04-13 3:18:12,453
2018-04-13 3:18:12,2018-04-13 3:18:13,522
2018-04-13 3:18:12,2018-04-13 3:18:13,1146
2018-04-13 3:18:13,2018-04-13 3:18:14,242
2018-04-13 3:18:14,2018-04-13 3:18:14,262
2018-04-13 3:18:14,2018-04-13 3:18:14,28
2018-04-13 3:18:14,2018-04-13 3:18:14,344
2018-04-13 3:18:14,2018-04-13 3:18:15,230
2018-04-13 3:18:15,2018-04-13 3:18:15,225
2018-04-13 3:18:15,2018-04-13 3:18:15,223
2018-04-13 3:18:15,2018-04-13 3:18:16,160
2018-04-13 3:18:16,2018-04-13 3:18:16,105
2018-04-13 3:18:16,2018-04-13 3:18:16,52
2018-04-13 3:18:16,2018-04-13 3:18:16,226
2018-04-13 3:18:16,2018-04-13 3:18:16,190
2018-04-13 3:18:16,2018-04-13 3:18:17,441
2018-04-13 3:18:17,2018-04-13 3:18:17,184
2018-04-13 3:18:17,2018-04-13 3:18:18,228
2018-04-13 3:18:18,2018-04-13 3:18:19,1220
2018-04-13 3:18:19,2018-04-13 3:18:19,76
2018-04-13 3:18:19,2018-04-13 3:18:20,68
2018-04-13 3:18:20,2018-04-13 3:18:20,239
2018-04-13 3:18:20,2018-04-13 3:18:20,271
2018-04-13 3:18:20,2018-04-13 3:18:20,170
2018-04-13 3:18:13,2018-04-13 3:18:21,5553
2018-04-13 3:18:20,2018-04-13 3:18:21,743
2018-04-13 3:18:21,2018-04-13 3:18:22,442
2018-04-13 3:18:21,2018-04-13 3:18:23,755
2018-04-13 3:18:23,2018-04-13 3:18:23,332
2018-04-13 3:18:23,2018-04-13 3:18:24,422
2018-04-13 3:18:24,2018-04-13 3:18:24,424
2018-04-13 3:18:24,2018-04-13 3:18:24,281
2018-04-13 3:18:22,2018-04-13 3:18:25,2198
2018-04-13 3:18:24,2018-04-13 3:18:26,778
2018-04-13 3:18:26,2018-04-13 3:18:26,261
2018-04-13 3:18:26,2018-04-13 3:18:26,350
2018-04-13 3:18:26,2018-04-13 3:18:28,1188
2018-04-13 3:18:28,2018-04-13 3:18:29,583
2018-04-13 3:18:29,2018-04-13 3:18:29,0
2018-04-13 3:18:25,2018-04-13 3:18:29,3033
2018-04-13 3:18:29,2018-04-13 3:18:30,651
2018-04-13 3:18:30,2018-04-13 3:18:30,459
2018-04-13 3:18:29,2018-04-13 3:18:31,1291
2018-04-13 3:18:30,2018-04-13 3:18:31,488
2018-04-13 3:18:31,2018-04-13 3:18:32,713
2018-04-13 3:18:32,2018-04-13 3:18:33,940
2018-04-13 3:18:33,2018-04-13 3:18:33,218
2018-04-13 3:18:31,2018-04-13 3:18:34,2088
2018-04-13 3:18:33,2018-04-13 3:18:35,999
2018-04-13 3:18:35,2018-04-13 3:18:36,993
2018-04-13 3:18:34,2018-04-13 3:18:36,1756
2018-04-13 3:18:36,2018-04-13 3:18:36,149
2018-04-13 3:18:36,2018-04-13 3:18:37,479
2018-04-13 3:18:37,2018-04-13 3:18:37,432
2018-04-13 3:18:37,2018-04-13 3:18:38,143
2018-04-13 3:18:38,2018-04-13 3:18:38,381
2018-04-13 3:18:38,2018-04-13 3:18:38,311
2018-04-13 3:18:38,2018-04-13 3:18:39,656
2018-04-13 3:18:39,2018-04-13 3:18:41,1117
2018-04-13 3:18:41,2018-04-13 3:18:42,857
2018-04-13 3:18:42,2018-04-13 3:18:42,172
2018-04-13 3:18:42,2018-04-13 3:18:43,140
2018-04-13 3:18:43,2018-04-13 3:18:43,355
2018-04-13 3:18:43,2018-04-13 3:18:43,55
2018-04-13 3:18:43,2018-04-13 3:18:44,213
2018-04-13 3:18:44,2018-04-13 3:18:44,377
2018-04-13 3:18:44,2018-04-13 3:18:45,423
2018-04-13 3:18:36,2018-04-13 3:18:45,6240
2018-04-13 3:18:45,2018-04-13 3:18:46,787
2018-04-13 3:18:46,2018-04-13 3:18:47,624
2018-04-13 3:18:45,2018-04-13 3:18:47,940
2018-04-13 3:18:47,2018-04-13 3:18:47,74
2018-04-13 3:18:47,2018-04-13 3:18:47,203
2018-04-13 3:18:47,2018-04-13 3:18:47,259
2018-04-13 3:18:47,2018-04-13 3:18:48,352
2018-04-13 3:18:48,2018-04-13 3:18:49,1066
2018-04-13 3:18:49,2018-04-13 3:18:50,478
2018-04-13 3:18:50,2018-04-13 3:18:50,99
2018-04-13 3:18:50,2018-04-13 3:18:51,239
2018-04-13 3:18:51,2018-04-13 3:18:51,306
2018-04-13 3:18:51,2018-04-13 3:18:52,392
2018-04-13 3:18:52,2018-04-13 3:18:52,313
2018-04-13 3:18:52,2018-04-13 3:18:52,56
2018-04-13 3:18:52,2018-04-13 3:18:52,107
2018-04-13 3:18:52,2018-04-13 3:18:53,276
2018-04-13 3:18:53,2018-04-13 3:18:54,1142
2018-04-13 3:18:54,2018-04-13 3:18:55,296
2018-04-13 3:18:47,2018-04-13 3:18:55,5935
2018-04-13 3:18:55,2018-04-13 3:18:55,311
2018-04-13 3:18:55,2018-04-13 3:18:55,147
2018-04-13 3:18:55,2018-04-13 3:18:57,1183
2018-04-13 3:18:57,2018-04-13 3:18:57,224
2018-04-13 3:18:57,2018-04-13 3:18:58,777
2018-04-13 3:18:58,2018-04-13 3:18:59,123
2018-04-13 3:18:59,2018-04-13 3:18:59,181
2018-04-13 3:18:59,2018-04-13 3:18:59,260
2018-04-13 3:18:59,2018-04-13 3:18:59,65
2018-04-13 3:18:59,2018-04-13 3:18:59,83
2018-04-13 3:18:59,2018-04-13 3:19:00,258
2018-04-13 3:19:00,2018-04-13 3:19:00,155
2018-04-13 3:19:00,2018-04-13 3:19:01,497
2018-04-13 3:18:55,2018-04-13 3:19:01,4482
2018-04-13 3:19:01,2018-04-13 3:19:01,557
2018-04-13 3:19:01,2018-04-13 3:19:02,116
2018-04-13 3:19:02,2018-04-13 3:19:02,0
2018-04-13 3:19:01,2018-04-13 3:19:02,803
2018-04-13 3:19:02,2018-04-13 3:19:04,1838
2018-04-13 3:19:04,2018-04-13 3:19:04,149
2018-04-13 3:19:02,2018-04-13 3:19:04,1704
2018-04-13 3:19:04,2018-04-13 3:19:05,432
2018-04-13 3:19:04,2018-04-13 3:19:05,424
2018-04-13 3:19:05,2018-04-13 3:19:08,1871
2018-04-13 3:19:08,2018-04-13 3:19:08,154
2018-04-13 3:19:05,2018-04-13 3:19:09,2811
2018-04-13 3:19:09,2018-04-13 3:19:09,208
2018-04-13 3:19:08,2018-04-13 3:19:09,942
2018-04-13 3:19:09,2018-04-13 3:19:09,241
2018-04-13 3:19:09,2018-04-13 3:19:10,155
2018-04-13 3:19:10,2018-04-13 3:19:10,263
2018-04-13 3:19:10,2018-04-13 3:19:10,146
2018-04-13 3:19:09,2018-04-13 3:19:10,842
2018-04-13 3:19:10,2018-04-13 3:19:11,212
2018-04-13 3:19:11,2018-04-13 3:19:11,198
2018-04-13 3:19:11,2018-04-13 3:19:11,122
2018-04-13 3:19:10,2018-04-13 3:19:11,740
2018-04-13 3:19:11,2018-04-13 3:19:12,611
2018-04-13 3:19:12,2018-04-13 3:19:12,68
2018-04-13 3:19:12,2018-04-13 3:19:13,649
2018-04-13 3:19:13,2018-04-13 3:19:13,106
2018-04-13 3:19:13,2018-04-13 3:19:14,620
2018-04-13 3:19:11,2018-04-13 3:19:14,1918
2018-04-13 3:19:14,2018-04-13 3:19:14,258
2018-04-13 3:19:14,2018-04-13 3:19:14,185
2018-04-13 3:19:14,2018-04-13 3:19:15,385
