Heuristics: TotalHeight Bumpiness NumHoles RowsCleared,Fitness Function = rowsCleared, 30 particles 100 iterations
2018-04-11 00:45:44,2018-04-11 00:45:45,91
2018-04-11 00:45:45,2018-04-11 00:45:46,619
2018-04-11 00:45:46,2018-04-11 00:45:47,180
2018-04-11 00:45:47,2018-04-11 00:45:51,1275
2018-04-11 00:45:51,2018-04-11 00:45:54,928
2018-04-11 00:45:54,2018-04-11 00:45:56,791
2018-04-11 00:45:56,2018-04-11 00:45:58,852
2018-04-11 00:45:58,2018-04-11 00:45:58,144
2018-04-11 00:45:58,2018-04-11 00:45:59,31
2018-04-11 00:45:59,2018-04-11 00:46:00,562
2018-04-11 00:46:00,2018-04-11 00:46:04,1353
2018-04-11 00:46:04,2018-04-11 00:46:05,524
2018-04-11 00:46:05,2018-04-11 00:46:09,1241
2018-04-11 00:46:09,2018-04-11 00:46:10,531
2018-04-11 00:46:10,2018-04-11 00:46:11,507
2018-04-11 00:46:11,2018-04-11 00:46:12,158
2018-04-11 00:46:12,2018-04-11 00:46:15,1304
2018-04-11 00:46:15,2018-04-11 00:46:16,46
2018-04-11 00:46:16,2018-04-11 00:46:16,159
2018-04-11 00:46:16,2018-04-11 00:46:18,470
2018-04-11 00:46:18,2018-04-11 00:46:18,216
2018-04-11 00:46:18,2018-04-11 00:46:18,70
2018-04-11 00:46:18,2018-04-11 00:46:19,266
2018-04-11 00:46:19,2018-04-11 00:46:20,375
2018-04-11 00:46:20,2018-04-11 00:46:21,276
2018-04-11 00:46:21,2018-04-11 00:46:22,321
2018-04-11 00:46:22,2018-04-11 00:46:23,215
2018-04-11 00:46:23,2018-04-11 00:46:24,435
2018-04-11 00:46:24,2018-04-11 00:46:25,376
2018-04-11 00:46:25,2018-04-11 00:46:26,335
2018-04-11 00:46:26,2018-04-11 00:46:29,1054
2018-04-11 00:46:29,2018-04-11 00:46:31,726
2018-04-11 00:46:31,2018-04-11 00:46:34,1002
2018-04-11 00:46:34,2018-04-11 00:46:35,571
2018-04-11 00:46:35,2018-04-11 00:46:35,141
2018-04-11 00:46:35,2018-04-11 00:46:38,839
2018-04-11 00:46:38,2018-04-11 00:46:39,412
2018-04-11 00:46:39,2018-04-11 00:46:39,31
2018-04-11 00:46:39,2018-04-11 00:46:40,315
2018-04-11 00:46:40,2018-04-11 00:46:41,459
2018-04-11 00:46:41,2018-04-11 00:46:42,438
2018-04-11 00:46:42,2018-04-11 00:46:43,156
2018-04-11 00:46:43,2018-04-11 00:46:46,1293
2018-04-11 00:46:46,2018-04-11 00:46:47,105
2018-04-11 00:46:47,2018-04-11 00:46:49,877
2018-04-11 00:46:49,2018-04-11 00:46:51,519
2018-04-11 00:46:51,2018-04-11 00:46:52,192
2018-04-11 00:46:52,2018-04-11 00:46:53,337
2018-04-11 00:46:53,2018-04-11 00:46:54,190
2018-04-11 00:46:54,2018-04-11 00:46:56,588
2018-04-11 00:46:56,2018-04-11 00:46:58,774
2018-04-11 00:46:58,2018-04-11 00:47:00,362
2018-04-11 00:47:00,2018-04-11 00:47:02,688
2018-04-11 00:47:02,2018-04-11 00:47:02,136
2018-04-11 00:47:02,2018-04-11 00:47:03,330
2018-04-11 00:47:03,2018-04-11 00:47:05,345
2018-04-11 00:47:05,2018-04-11 00:47:07,745
2018-04-11 00:47:07,2018-04-11 00:47:10,910
2018-04-11 00:47:10,2018-04-11 00:47:11,166
2018-04-11 00:47:11,2018-04-11 00:47:12,329
